id,cluster,primary_query_hypothesis,working_title_not_article_draft,research_scope,proposed_visual_or_asset,priority_editorial_not_volume,disposition,search_intent,evidence,source_leads_not_claim_verification,existing_guide_to_review,publication_gate,search_volume,research_date
A01,Credit terms and limits,credit sales in Nigeria,Selling goods on credit in Nigeria: a practical operating guide,Agree terms; assess cash exposure; accept; deliver; track and close a sale,Sale lifecycle diagram; worked naira transaction,P1,candidate,Informational / practical task,Adjacent-topic hypothesis; individual query validation needed,https://quickbooks.intuit.com/r/e-commerce/what-do-net30-and-other-invoice-payment-terms-mean/,how-to-sell-goods-on-credit-in-nigeria,Validate query intent; produce original example/assets; factual review,Not measured,2026-09-04
A02,Credit terms and limits,trade credit advantages and disadvantages,"Trade credit: benefits, costs and risks for buyers and sellers",Distinguish supplier credit from a cash loan; compare risk on both sides,Two-sided comparison; cash timing chart,P2,candidate,Informational / practical task,Adjacent-topic hypothesis; individual query validation needed,https://quickbooks.intuit.com/r/e-commerce/what-do-net30-and-other-invoice-payment-terms-mean/,,Validate query intent; produce original example/assets; factual review,Not measured,2026-09-04
A03,Credit terms and limits,cash sales vs credit sales,Cash sales vs credit sales: which orders can your business afford?,Compare margin with timing and replacement-stock needs,Side-by-side cash timeline; scenario calculator,P1,candidate,Informational / practical task,Adjacent-topic hypothesis; individual query validation needed,https://quickbooks.intuit.com/r/e-commerce/what-do-net30-and-other-invoice-payment-terms-mean/,,Validate query intent; produce original example/assets; factual review,Not measured,2026-09-04
A04,Credit terms and limits,net 30 payment terms meaning,"Net 7, net 14 and net 30: how invoice payment terms work",Explain date anchors and calendar examples; avoid implying every industry uses the same terms,Due-date calendar; comparison table,P1,candidate,Informational / practical task,Observed topic coverage; search volume unmeasured,https://quickbooks.intuit.com/r/e-commerce/what-do-net30-and-other-invoice-payment-terms-mean/,,Validate query intent; produce original example/assets; factual review,Not measured,2026-09-04
A05,Credit terms and limits,credit policy template small business,A customer credit policy template for a small business,Approval authority; limit; evidence; follow-up; exceptions; periodic review,Annotated policy; downloadable editable template,P1,candidate,Template / practical task,Adjacent-topic hypothesis; individual query validation needed,https://quickbooks.intuit.com/r/e-commerce/what-do-net30-and-other-invoice-payment-terms-mean/,write-a-small-business-credit-policy,Validate query intent; produce original example/assets; factual review,Not measured,2026-09-04
A06,Credit terms and limits,how to set customer credit limits,How to set and review a customer credit limit,Affordability for seller; open orders; overdue exposure; defensible exceptions,Exposure worksheet; decision tree,P1,candidate,Informational / practical task,Adjacent-topic hypothesis; individual query validation needed,https://quickbooks.intuit.com/r/e-commerce/what-do-net30-and-other-invoice-payment-terms-mean/,how-much-credit-to-give-a-customer,Validate query intent; produce original example/assets; factual review,Not measured,2026-09-04
A07,Credit terms and limits,deposit payment terms for customers,How to agree a deposit and balance-payment schedule,Define which stock or work a deposit covers; cancellation and remaining amount,Deposit scenarios; annotated order terms,P2,candidate,Informational / practical task,Adjacent-topic hypothesis; individual query validation needed,https://quickbooks.intuit.com/r/e-commerce/what-do-net30-and-other-invoice-payment-terms-mean/,,Validate query intent; produce original example/assets; factual review,Not measured,2026-09-04
A08,Credit terms and limits,first credit sale checklist,First credit sale checklist,A printable release checklist inside the main credit-sales guide,One-page checklist,P3,merge:A01,Informational / practical task,Adjacent-topic hypothesis; individual query validation needed,https://quickbooks.intuit.com/r/e-commerce/what-do-net30-and-other-invoice-payment-terms-mean/,,Include in parent guide; do not create another URL yet,Not measured,2026-09-04
A09,Credit terms and limits,change payment terms existing customers,Changing payment terms with an existing customer,Prospective offers vs already accepted terms; conversation and evidence,Before-and-after timeline; amendment checklist,P2,candidate,Informational / practical task,Adjacent-topic hypothesis; individual query validation needed,https://quickbooks.intuit.com/r/e-commerce/what-do-net30-and-other-invoice-payment-terms-mean/,,Validate query intent; produce original example/assets; factual review,Not measured,2026-09-04
A10,Credit terms and limits,how to ask a supplier for credit terms,How to request trade credit from a supplier,Buyer preparation; repayment source; references; realistic order size,Application pack map; request structure,P2,candidate,Informational / practical task,Adjacent-topic hypothesis; individual query validation needed,https://quickbooks.intuit.com/r/e-commerce/what-do-net30-and-other-invoice-payment-terms-mean/,,Validate query intent; produce original example/assets; factual review,Not measured,2026-09-04
