schema	table	field	classification	subject	source	purpose	lawful_basis	readers	writers	protection	retention	deletion_hold_behavior	processor	location_transfer	owner
app	account_recovery_codes	id	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_codes	user_id	restricted_identity	account_user	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_codes	code_hash	restricted_authentication	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	one_way_hmac_or_hash	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_codes	code_hint	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_codes	state	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_codes	created_at	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_codes	expires_at	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_codes	used_at	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_events	id	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_events	request_id	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_events	event_type	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_events	actor_user_id	restricted_identity	account_user	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_events	actor_reference	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_events	metadata	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_events	created_at	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_evidence	id	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_evidence	request_id	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_evidence	factor_type	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_evidence	evidence_hash	restricted_authentication	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	one_way_hmac_or_hash	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_evidence	verified_at	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_rate_limits	fingerprint_hash	restricted_authentication	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	one_way_hmac_or_hash	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_rate_limits	window_started_at	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_rate_limits	attempt_count	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_requests	id	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_requests	target_user_id	restricted_identity	account_user	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_requests	state	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_requests	requested_channel	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
app	account_recovery_requests	request_fingerprint	confidential_commercial	business_or_transaction	application_or_authorized_provider	account_security	pending_legal_approval	authorized_user;case_bound_compliance	validated_application_command;authorized_worker	database_encryption;rls;access_audit	environment_retention_register_pending_legal_approval	delete_or_pseudonymize_after_approved_request_and_retention_expiry	kredit	configured_region;transfer_assessment_required_for_external_processor	Security Engineering Lead
