workstream_id	wave	status	product_owner	engineering_owner	compliance_owner	operations_owner	code_evidence	test_evidence	reviewed_at
FOUNDATION-CONTRACT-LOCK	0	complete	Product Lead	Engineering Lead	Compliance Lead	Operations Lead	docs/product/wave0-contracts.md;docs/product/interface-copy.md;internal/config/config.go	scripts/implementation-plan-conformance-test.sh;internal/config/config_test.go	2026-08-29
TL-DRAWDOWN	1	complete	Credit Product Lead	Financial Systems Lead	Compliance Lead	Finance Operations Lead	internal/tradelines/store.go;internal/tradelines/postgres.go;internal/credit/postgres.go;internal/ledger/postgres.go;internal/schedules/store.go;internal/jobs/client.go;internal/agreementdocs/document.go;internal/web/credit_handlers.go;web/src/routes/app/trade-lines/[id]/+page.svelte;web/src/routes/buyer/trade-lines/+page.svelte;db/migrations/046_trade_line_drawdown_lifecycle.sql	internal/tradelines/store_test.go;internal/tradelines/postgres_test.go;internal/web/runtime_tradeline_postgres_test.go;internal/web/runtime_schedule_test.go;internal/agreementdocs/document_test.go;web/tests/product-flows.spec.ts	2026-08-29
SUPPLIER-ONBOARDING	2	complete	Supplier Product Lead	Identity Platform Lead	Compliance Lead	Supplier Operations Lead	internal/onboarding/store.go;internal/onboarding/postgres.go;internal/auth/store.go;internal/auth/postgres.go;internal/web/onboarding_handlers.go;internal/web/runtime.go;internal/jobs/client.go;web/src/routes/app/onboarding/+page.svelte;web/src/routes/app/settings/settlement/+page.svelte;web/src/routes/app/settings/billing/+page.svelte;web/src/routes/app/settings/credit-policy/+page.svelte;web/src/routes/app/team/+page.svelte;db/migrations/047_supplier_onboarding_readiness.sql	internal/onboarding/store_test.go;internal/onboarding/postgres_test.go;internal/web/supplier_onboarding_test.go;web/tests/product-flows.spec.ts	2026-08-29
NOTIFICATION-PREFERENCES	3	complete	Lifecycle Product Lead	Messaging Platform Lead	Data Protection Lead	Support Operations Lead	internal/notifications/store.go;internal/web/user_control_handlers.go;web/src/routes/app/settings/notifications/+page.svelte;api/openapi.yaml;db/migrations/048_user_control_and_privacy.sql	internal/notifications/store_test.go;internal/notifications/postgres_test.go;internal/web/user_control_handlers_test.go;web/tests/product-flows.spec.ts	2026-08-29
ACCOUNT-RECOVERY	3	complete	Identity Product Lead	Security Engineering Lead	Compliance Lead	Support Operations Lead	internal/usercontrol/store.go;internal/auth/store.go;internal/auth/postgres.go;internal/web/user_control_handlers.go;web/src/routes/recover/+page.svelte;web/src/routes/admin/recovery/+page.svelte;db/migrations/048_user_control_and_privacy.sql	internal/usercontrol/store_test.go;internal/usercontrol/postgres_test.go;internal/web/user_control_handlers_test.go;web/tests/product-flows.spec.ts	2026-08-29
PRIVACY-RIGHTS	3	complete	Trust Product Lead	Privacy Engineering Lead	Data Protection Lead	Compliance Operations Lead	internal/usercontrol/store.go;internal/web/user_control_handlers.go;web/src/routes/app/settings/privacy/+page.svelte;web/src/routes/admin/privacy/+page.svelte;db/migrations/048_user_control_and_privacy.sql	internal/usercontrol/store_test.go;internal/usercontrol/postgres_test.go;internal/web/user_control_handlers_test.go;web/tests/product-flows.spec.ts	2026-08-29
DATA-INVENTORY	3	complete	Trust Product Lead	Data Platform Lead	Data Protection Lead	Compliance Operations Lead	docs/compliance/data-inventory.tsv;scripts/data-inventory-generate.sh;scripts/data-inventory-check.sh;Taskfile.yml	scripts/data-inventory-check.sh	2026-08-29
OPS-CONTROLS	4	complete	Operations Product Lead	Platform Engineering Lead	Compliance Lead	Finance Operations Lead	internal/platformops/controls.go;internal/web/platform_operations_handlers.go;internal/collections/engine.go;internal/collections/provider.go;web/src/routes/admin/controls/+page.svelte;web/src/routes/admin/jobs/+page.svelte;web/src/routes/admin/provider-events/+page.svelte;web/src/routes/admin/diagnostics/+page.svelte;db/migrations/049_operations_controls.sql;docs/runbooks/operations-controls.md	internal/platformops/controls_test.go;internal/collections/engine_test.go;internal/web/platform_operations_handlers_test.go;web/tests/product-flows.spec.ts	2026-08-29
INTERACTIVE-FLOWS	5	complete	Core Product Lead	Frontend Lead	Compliance Lead	Supplier Operations Lead	internal/organizations/store.go;internal/organizations/postgres.go;internal/web/organization_handlers.go;internal/web/credit_handlers.go;web/src/routes/app/team/+page.svelte;web/src/routes/app/trade-lines/+page.svelte;web/src/routes/app/trade-lines/[id]/+page.svelte;web/src/lib/components/DisputeDetail.svelte;web/src/routes/app/disputes/[id]/+page.svelte;web/src/routes/buyer/disputes/[id]/+page.svelte;api/openapi.yaml	internal/organizations/store_test.go;web/tests/product-flows.spec.ts	2026-08-29
WCAG-AA	5	in_progress	Core Product Lead	Frontend Lead	Accessibility Reviewer	Support Operations Lead	web/src/app.css;web/src/routes/+layout.svelte;web/src/lib/components/CommandPalette.svelte;web/src/routes/app/onboarding/+page.svelte;docs/release/wave5-accessibility-evidence.md	web/tests/accessibility.spec.ts	-
PRODUCT-ANALYTICS	6	complete	Growth Product Lead	Data Platform Lead	Data Protection Lead	Supplier Operations Lead	db/migrations/050_product_analytics.sql;db/migrations/051_analytics_contract_completion.sql;internal/reports/analytics.go;internal/reports/store.go;internal/web/platform_operations_handlers.go;web/src/routes/admin/analytics/+page.svelte;docs/product/analytics-event-catalog.md;docs/product/pilot-scorecard.md;docs/runbooks/pilot-scorecard.md;docs/release/wave6-analytics-evidence.md	internal/reports/store_test.go;internal/reports/postgres_test.go;internal/web/platform_operations_handlers_test.go;web/tests/product-flows.spec.ts;scripts/data-inventory-check.sh	2026-08-29
